,Job Title,Salary Estimate,Rating,Company Name,Location,State,Headquarters,Size,Founded,Industry,Sector,Revenue
0,"Data Analyst, Center on Immigration and Justice (CIJ)",$37K-$66K (Glassdoor est.),3.2,"Vera Institute of Justice
3.2","New York, NY",NY,"New York, NY",201 to 500 employees,1961,Social Assistance,Non-Profit,$100 to $500 million (USD)
1,Quality Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Visiting Nurse Service of New York
3.8","New York, NY",NY,"New York, NY",10000+ employees,1893,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
2,"Senior Data Analyst, Insights & Analytics Team [Customer Operations]",$37K-$66K (Glassdoor est.),3.4,"Squarespace
3.4","New York, NY",NY,"New York, NY",1001 to 5000 employees,2003,Internet,Information Technology,Unknown / Non-Applicable
3,Data Analyst,$37K-$66K (Glassdoor est.),4.1,"Celerity
4.1","New York, NY",NY,"McLean, VA",201 to 500 employees,2002,IT Services,Information Technology,$50 to $100 million (USD)
4,Reporting Data Analyst,$37K-$66K (Glassdoor est.),3.9,"FanDuel
3.9","New York, NY",NY,"New York, NY",501 to 1000 employees,2009,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD)
5,Data Analyst,$37K-$66K (Glassdoor est.),3.9,"Point72
3.9","New York, NY",NY,"Stamford, CT",1001 to 5000 employees,2014,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
6,Business/Data Analyst (FP&A),$37K-$66K (Glassdoor est.),4.4,"Two Sigma
4.4","New York, NY",NY,"New York, NY",1001 to 5000 employees,2001,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable
7,Data Science Analyst,$37K-$66K (Glassdoor est.),3.7,"GNY Insurance Companies
3.7","New York, NY",NY,"New York, NY",201 to 500 employees,1914,Insurance Carriers,Insurance,$100 to $500 million (USD)
8,Data Analyst,$37K-$66K (Glassdoor est.),4,"DMGT
4.0","New York, NY",NY,"London, United Kingdom",5001 to 10000 employees,1896,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD)
9,"Data Analyst, Merchant Health",$37K-$66K (Glassdoor est.),4.4,"Riskified
4.4","New York, NY",NY,"New York, NY",501 to 1000 employees,2013,Research & Development,Business Services,Unknown / Non-Applicable
10,Data Analyst,$37K-$66K (Glassdoor est.),4,"NYU Langone Health
4.0","New York, NY",NY,"New York, NY",10000+ employees,1841,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD)
11,Data Analyst,$37K-$66K (Glassdoor est.),-1,BulbHead,"Fairfield, NJ",NJ,-1,1 to 50 employees,-1,-1,-1,Unknown / Non-Applicable
12,DATA ANALYST,$37K-$66K (Glassdoor est.),3.7,"Montefiore Medical
3.7","New York, NY",NY,"Bronx, NY",10000+ employees,1884,Health Care Services & Hospitals,Health Care,$2 to $5 billion (USD)
13,Senior Data Analyst,$37K-$66K (Glassdoor est.),3,"Known
3.0","New York, NY",NY,"New York, NY",201 to 500 employees,2004,Advertising & Marketing,Business Services,$100 to $500 million (USD)
14,Investment Advisory Data Analyst,$37K-$66K (Glassdoor est.),3.4,"Advisor Group
3.4","Jersey City, NJ",NJ,"Phoenix, AZ",1001 to 5000 employees,2016,Brokerage Services,Finance,$1 to $5 million (USD)
15,Sustainability Data Analyst,$37K-$66K (Glassdoor est.),3.6,"CodeGreen Solutions
3.6","New York, NY",NY,"New York, NY",1 to 50 employees,-1,Building & Personnel Services,Business Services,Unknown / Non-Applicable
16,Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Undertone
3.8","New York, NY",NY,"New York, NY",201 to 500 employees,2001,Advertising & Marketing,Business Services,Unknown / Non-Applicable
17,Clinical Data Analyst,$37K-$66K (Glassdoor est.),3.8,"NYSTEC
3.8","New York, NY",NY,"Rome, NY",51 to 200 employees,1996,Consulting,Business Services,$25 to $50 million (USD)
18,DATA PROGRAMMER/ANALYST,$37K-$66K (Glassdoor est.),3.9,"Education Development Center, Inc.
3.9","New York, NY",NY,"Waltham, MA",501 to 1000 employees,1958,Research & Development,Business Services,$100 to $500 million (USD)
19,Data Analyst,$37K-$66K (Glassdoor est.),4.9,"Teachers Pay Teachers
4.9","New York, NY",NY,"New York, NY",51 to 200 employees,2006,Internet,Information Technology,Unknown / Non-Applicable
20,"Product Analyst, Data Science",$37K-$66K (Glassdoor est.),4.4,"Google
4.4","New York, NY",NY,"Mountain View, CA",10000+ employees,1998,Internet,Information Technology,$10+ billion (USD)
21,Data Science Analyst,$37K-$66K (Glassdoor est.),-1,MUSIC & Entertainment,"New York, NY",NY,"Marina del Rey, CA",Unknown,-1,-1,-1,Unknown / Non-Applicable
22,Data Analyst - Intex Developer,$37K-$66K (Glassdoor est.),3.3,"Macquarie Group
3.3","New York, NY",NY,"Sydney, Australia",10000+ employees,1969,Investment Banking & Asset Management,Finance,$5 to $10 billion (USD)
23,Data Analyst,$37K-$66K (Glassdoor est.),3.5,"Andiamo
3.5","New York, NY",NY,"Warren, MI",201 to 500 employees,-1,Casual Restaurants,"Restaurants, Bars & Food Services",$1 to $5 million (USD)
24,Entry Level / Jr. Data Analyst,$37K-$66K (Glassdoor est.),3.8,"Dash Technologies Inc
3.8","New York, NY",NY,"Columbus, OH",1 to 50 employees,-1,-1,-1,Unknown / Non-Applicable
25,Data Analyst,$37K-$66K (Glassdoor est.),4,"Hearst Communications
4.0","New York, NY",NY,"San Francisco, CA",1 to 50 employees,-1,Advertising & Marketing,Business Services,Less than $1 million (USD)
26,Data + Business Intelligence Analyst,$37K-$66K (Glassdoor est.),5,"Duolingo
5.0","New York, NY",NY,"Pittsburgh, PA",201 to 500 employees,2011,Internet,Information Technology,$10 to $25 million (USD)
27,"Data Analyst, Product",$37K-$66K (Glassdoor est.),4.8,"Ro
4.8","New York, NY",NY,"New York, NY",51 to 200 employees,2017,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable
28,Data Analyst Entry Level,$37K-$66K (Glassdoor est.),3.7,"Endai
3.7","New York, NY",NY,"New York, NY",1 to 50 employees,-1,Advertising & Marketing,Business Services,$1 to $5 million (USD)
