area,area_title,own_code,occ_code,occ_title,tot_emp,jobs_1000,h_mean,a_mean,h_median,a_median
10420,"Akron, OH",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",0.00,0.00,43.59,90670.00,43.83,91160.00
11260,"Anchorage, AK",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",50.00,0.26,32.08,66730.00,31.37,65240.00
12060,"Atlanta-Sandy Springs-Roswell, GA",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",920.00,0.34,43.29,90040.00,41.49,86310.00
12420,"Austin-Round Rock, TX",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",370.00,0.35,50.24,104500.00,50.22,104470.00
12580,"Baltimore-Columbia-Towson, MD",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",840.00,0.61,59.96,124710.00,57.45,119490.00
12940,"Baton Rouge, LA",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",0.00,0.00,35.10,73010.00,31.22,64930.00
14500,"Boulder, CO",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",90.00,0.51,52.59,109380.00,51.39,106880.00
16620,"Charleston, WV",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",40.00,0.35,33.02,68690.00,27.91,58050.00
16740,"Charlotte-Concord-Gastonia, NC-SC",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",290.00,0.23,58.14,120930.00,57.40,119390.00
16860,"Chattanooga, TN-GA",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",40.00,0.15,38.90,80900.00,39.93,83050.00
16980,"Chicago-Naperville-Elgin, IL-IN-WI",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",1570.00,0.34,48.80,101490.00,45.57,94780.00
17140,"Cincinnati, OH-KY-IN",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",370.00,0.34,38.32,79710.00,37.00,76960.00
17460,"Cleveland-Elyria, OH",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",180.00,0.18,36.27,75430.00,35.37,73560.00
17820,"Colorado Springs, CO",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",70.00,0.25,34.43,71610.00,29.18,60700.00
18140,"Columbus, OH",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",290.00,0.28,40.45,84140.00,40.17,83560.00
19100,"Dallas-Fort Worth-Arlington, TX",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",790.00,0.22,46.01,95700.00,44.99,93570.00
19380,"Dayton, OH",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",240.00,0.63,42.57,88550.00,40.70,84650.00
19740,"Denver-Aurora-Lakewood, CO",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",490.00,0.32,46.81,97370.00,44.00,91510.00
19780,"Des Moines-West Des Moines, IA",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",180.00,0.48,0.00,0.00,0.00,0.00
19820,"Detroit-Warren-Dearborn, MI",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",460.00,0.23,46.47,96660.00,43.37,90200.00
20500,"Durham-Chapel Hill, NC",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",270.00,0.87,59.61,123990.00,57.02,118610.00
21660,"Eugene, OR",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",40.00,0.28,34.70,72170.00,34.51,71780.00
25420,"Harrisburg-Carlisle, PA",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",50.00,0.16,36.87,76690.00,35.91,74690.00
26420,"Houston-The Woodlands-Sugar Land, TX",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",600.00,0.20,49.93,103860.00,48.51,100890.00
26900,"Indianapolis-Carmel-Anderson, IN",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",0.00,0.00,39.46,82070.00,38.12,79280.00
27260,"Jacksonville, FL",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",0.00,0.00,35.83,74520.00,28.41,59100.00
28140,"Kansas City, MO-KS",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",330.00,0.31,46.20,96100.00,42.59,88600.00
28940,"Knoxville, TN",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",30.00,0.09,36.05,74990.00,37.15,77280.00
29620,"Lansing-East Lansing, MI",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",150.00,0.68,40.03,83260.00,41.44,86200.00
29820,"Las Vegas-Henderson-Paradise, NV",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",0.00,0.00,51.90,107950.00,48.69,101280.00
30460,"Lexington-Fayette, KY",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",110.00,0.41,33.14,68920.00,29.30,60950.00
30700,"Lincoln, NE",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",0.00,0.00,27.36,56920.00,22.32,46430.00
31080,"Los Angeles-Long Beach-Anaheim, CA",1235,15-2098,"Data Scientists and Mathematical Science Occupations, All Other",960.00,0.15,53.53,111350.00,49.30,102540.00
