Index,job_title,mean_sal_est,company,Location,State,col_state,Headquarters,Size,Founded,Industry
1468,Data Analyst,$150 ,"OSI Engineering
4.5","Newark, CA",CA,102.9,"Campbell, CA",51 to 200 employees,2010,Staffing & Outsourcing
1469,Senior HR Data Analyst,$150 ,"NVIDIA
4.6","Santa Clara, CA",CA,102.9,"Santa Clara, CA",10000+ employees,1993,Computer Hardware & Software
1470,Sr. Data Analyst - Growth & Adoption,$150 ,"Risk Management Solutions (RMS)
3.9","Newark, CA",CA,102.9,"Newark, CA",1001 to 5000 employees,1989,Enterprise Software & Network Solutions
1471,Data Analyst,$150 ,"LeanData
4.0","Santa Clara, CA",CA,102.9,"Sunnyvale, CA",51 to 200 employees,2012,Enterprise Software & Network Solutions
1472,"Data Analyst, Product Insights",$150 ,"Alteryx
3.3","Redwood City, CA",CA,102.9,"Irvine, CA",1001 to 5000 employees,1997,Enterprise Software & Network Solutions
1473,Senior Data Analyst,$150 ,"Bandai Namco Entertainment America
3.1","Santa Clara, CA",CA,102.9,"Santa Clara, CA",51 to 200 employees,1990,Sports & Recreation
1474,Data and User Acceptance Test Analyst,$150 ,"Kelly
3.4","Cupertino, CA",CA,102.9,"Troy, MI",5001 to 10000 employees,1946,Staffing & Outsourcing
1475,Data Analyst,$150 ,"Tesla Motors
3.4","Fremont, CA",CA,102.9,"Palo Alto, CA",10000+ employees,2003,Transportation Equipment Manufacturing
1476,Data Analyst,$150 ,"L&T Infotech
3.5","San Jose, CA",CA,102.9,"Mumbai, India",10000+ employees,1997,IT Services
1477,Data Analyst,$150 ,"IntraEdge
3.8","Menlo Park, CA",CA,102.9,"Chandler, AZ",501 to 1000 employees,2002,IT Services
1478,Data Analyst,$150 ,"Connor Group
4.0","Santa Clara, CA",CA,102.9,"Santa Clara, CA",201 to 500 employees,2006,Accounting
1479,Data Analyst,$150 ,Xcutives.com Inc,"San Jose, CA",CA,102.9,-1,-1,-1,-1
1480,Marketing Data Analyst,$150 ,"Joomag, Inc.
3.9","San Jose, CA",CA,102.9,"Sunnyvale, CA",51 to 200 employees,2009,IT Services
1481,Tableau Data Analyst Intern,$150 ,"Cognoa
4.0","Palo Alto, CA",CA,102.9,"Palo Alto, CA",1 to 50 employees,-1,Health Care Services & Hospitals
1482,Data Analyst I,$150 ,"ICONMA
3.6","Cupertino, CA",CA,102.9,"Troy, MI",1001 to 5000 employees,2000,Staffing & Outsourcing
