State,Initials,FIPS,Center_Lat,Center_Long
Alabama,AL,1,32.318231,-86.902298
Alaska,AK,2,63.588753,-154.493062
Arizona,AZ,4,34.048928,-111.093731
Arkansas,AR,5,35.20105,-91.831833
California,CA,6,36.778261,-119.417932
Colorado,CO,8,39.550051,-105.782067
Connecticut,CT,9,41.603221,-73.087749
Delaware,DE,10,38.910832,-75.52767
Florida,FL,12,27.664827,-81.515754
Georgia,GA,13,32.157435,-82.907123
Hawaii,HI,15,19.898682,-155.665857
Idaho,ID,16,44.068202,-114.742041
Illinois,IL,17,40.633125,-89.398528
Indiana,IN,18,40.551217,-85.602364
Iowa,IA,19,41.878003,-93.097702
Kansas,KS,20,39.011902,-98.484246
Kentucky,KY,21,37.839333,-84.270018
Louisiana,LA,22,31.244823,-92.145024
Maine,ME,23,45.253783,-69.445469
Maryland,MD,24,39.045755,-76.641271
Massachusetts,MA,25,42.407211,-71.382437
Michigan,MI,26,44.314844,-85.602364
Minnesota,MN,27,46.729553,-94.6859
Mississippi,MS,28,32.354668,-89.398528
Missouri,MO,29,37.964253,-91.831833
Montana,MT,30,46.879682,-110.362566
Nebraska,NE,31,41.492537,-99.901813
Nevada,NV,32,38.80261,-116.419389
New Hampshire,NH,33,43.193852,-71.572395
New Jersey,NJ,34,40.058324,-74.405661
New Mexico,NM,35,34.97273,-105.032363
New York,NY,36,43.299428,-74.217933
North Carolina,NC,37,35.759573,-79.0193
North Dakota,ND,38,47.551493,-101.002012
Ohio,OH,39,40.417287,-82.907123
Oklahoma,OK,40,35.007752,-97.092877
Oregon,OR,41,43.804133,-120.554201
Pennsylvania,PA,42,41.203322,-77.194525
Rhode Island,RI,44,41.580095,-71.477429
South Carolina,SC,45,33.836081,-81.163725
South Dakota,SD,46,43.969515,-99.901813
Tennessee,TN,47,35.517491,-86.580447
Texas,TX,48,31.968599,-99.901813
Utah,UT,49,39.32098,-111.093731
Vermont,VT,50,44.558803,-72.577841
Virginia,VA,51,37.431573,-78.656894
Washington,WA,53,47.751074,-120.740139
West Virginia,WV,54,38.597626,-80.454903
Wisconsin,WI,55,43.78444,-88.787868
Wyoming,WY,56,43.075968,-107.290284
Puerto Rico,PR,72,18.220833,-66.590149
